[SchoolYearCode]+' School Year',County,District Code,District Name,District Organization Id,ESD Name,ESD Organization Id,Organization,OrganizationCode,organizationid9,Organizationid10,OrganizationLevel (PublicDirectory),OrganizationName,QualitificationName,School Code,School Name,School Organization Id,SchoolYear,SchoolYearCode,teacher/teachers,Teacher Count,Teacher Percent,Teacher Total Count
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Arbor Heights Elementary School,2730,101102,101102,School,Arbor Heights Elementary School,Limited Certificate status,2730.0,Arbor Heights Elementary School,101102.0,2018-19,2018-19,teachers,1,2.4%,42
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Arbor Heights Elementary School,2730,101102,101102,School,Arbor Heights Elementary School,Out-of-Field status,2730.0,Arbor Heights Elementary School,101102.0,2018-19,2018-19,teachers,0,0.0%,42
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - B F Day Elementary School,3717,101139,101139,School,B F Day Elementary School,Inexperienced status,3717.0,B F Day Elementary School,101139.0,2018-19,2018-19,teachers,11,40.7%,27
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - B F Day Elementary School,3717,101139,101139,School,B F Day Elementary School,Limited Certificate status,3717.0,B F Day Elementary School,101139.0,2018-19,2018-19,teachers,0,0.0%,27
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - B F Day Elementary School,3717,101139,101139,School,B F Day Elementary School,Out-of-Field status,3717.0,B F Day Elementary School,101139.0,2018-19,2018-19,teachers,0,0.0%,27
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Bailey Gatzert Elementary School,2307,101081,101081,School,Bailey Gatzert Elementary School,Inexperienced status,2307.0,Bailey Gatzert Elementary School,101081.0,2018-19,2018-19,teachers,12,48.0%,25
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Bailey Gatzert Elementary School,2307,101081,101081,School,Bailey Gatzert Elementary School,Limited Certificate status,2307.0,Bailey Gatzert Elementary School,101081.0,2018-19,2018-19,teachers,0,0.0%,25
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Bailey Gatzert Elementary School,2307,101081,101081,School,Bailey Gatzert Elementary School,Out-of-Field status,2307.0,Bailey Gatzert Elementary School,101081.0,2018-19,2018-19,teachers,2,8.0%,25
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Ballard High School,2220,101071,101071,School,Ballard High School,Inexperienced status,2220.0,Ballard High School,101071.0,2018-19,2018-19,teachers,28,27.7%,101
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Ballard High School,2220,101071,101071,School,Ballard High School,Limited Certificate status,2220.0,Ballard High School,101071.0,2018-19,2018-19,teachers,7,6.7%,105
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Ballard High School,2220,101071,101071,School,Ballard High School,Out-of-Field status,2220.0,Ballard High School,101071.0,2018-19,2018-19,teachers,9,8.2%,110
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Beacon Hill International School,2070,101039,101039,School,Beacon Hill International School,Inexperienced status,2070.0,Beacon Hill International School,101039.0,2018-19,2018-19,teachers,8,23.5%,34
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Beacon Hill International School,2070,101039,101039,School,Beacon Hill International School,Limited Certificate status,2070.0,Beacon Hill International School,101039.0,2018-19,2018-19,teachers,1,2.9%,35
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Beacon Hill International School,2070,101039,101039,School,Beacon Hill International School,Out-of-Field status,2070.0,Beacon Hill International School,101039.0,2018-19,2018-19,teachers,3,8.3%,36
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Birth to 3 Contracts,5048,104200,104200,School,Birth to 3 Contracts,Inexperienced status,5048.0,Birth to 3 Contracts,104200.0,2018-19,2018-19,teachers,3,50.0%,6
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Birth to 3 Contracts,5048,104200,104200,School,Birth to 3 Contracts,Limited Certificate status,5048.0,Birth to 3 Contracts,104200.0,2018-19,2018-19,teachers,0,0.0%,6
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Birth to 3 Contracts,5048,104200,104200,School,Birth to 3 Contracts,Out-of-Field status,5048.0,Birth to 3 Contracts,104200.0,2018-19,2018-19,teachers,0,0.0%,6
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Bridges Transition,5406,105910,105910,School,Bridges Transition,Inexperienced status,5406.0,Bridges Transition,105910.0,2018-19,2018-19,teachers,3,13.6%,22
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Bridges Transition,5406,105910,105910,School,Bridges Transition,Limited Certificate status,5406.0,Bridges Transition,105910.0,2018-19,2018-19,teachers,0,0.0%,22
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Bridges Transition,5406,105910,105910,School,Bridges Transition,Out-of-Field status,5406.0,Bridges Transition,105910.0,2018-19,2018-19,teachers,0,0.0%,22
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Broadview-Thomson K-8 School,2209,101068,101068,School,Broadview-Thomson K-8 School,Inexperienced status,2209.0,Broadview-Thomson K-8 School,101068.0,2018-19,2018-19,teachers,14,29.8%,47
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Broadview-Thomson K-8 School,2209,101068,101068,School,Broadview-Thomson K-8 School,Limited Certificate status,2209.0,Broadview-Thomson K-8 School,101068.0,2018-19,2018-19,teachers,1,2.1%,48
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Broadview-Thomson K-8 School,2209,101068,101068,School,Broadview-Thomson K-8 School,Out-of-Field status,2209.0,Broadview-Thomson K-8 School,101068.0,2018-19,2018-19,teachers,5,10.2%,49
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Bryant Elementary School,2372,101087,101087,School,Bryant Elementary School,Inexperienced status,2372.0,Bryant Elementary School,101087.0,2018-19,2018-19,teachers,10,29.4%,34
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Bryant Elementary School,2372,101087,101087,School,Bryant Elementary School,Limited Certificate status,2372.0,Bryant Elementary School,101087.0,2018-19,2018-19,teachers,0,0.0%,34
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Bryant Elementary School,2372,101087,101087,School,Bryant Elementary School,Out-of-Field status,2372.0,Bryant Elementary School,101087.0,2018-19,2018-19,teachers,0,0.0%,34
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Cascade Parent Partnership Program,1751,101004,101004,School,Cascade Parent Partnership Program,Inexperienced status,1751.0,Cascade Parent Partnership Program,101004.0,2018-19,2018-19,teachers,3,42.9%,7
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Cascade Parent Partnership Program,1751,101004,101004,School,Cascade Parent Partnership Program,Limited Certificate status,1751.0,Cascade Parent Partnership Program,101004.0,2018-19,2018-19,teachers,1,12.5%,8
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Cascade Parent Partnership Program,1751,101004,101004,School,Cascade Parent Partnership Program,Out-of-Field status,1751.0,Cascade Parent Partnership Program,101004.0,2018-19,2018-19,teachers,1,12.5%,8
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Cascadia Elementary,5292,105540,105540,School,Cascadia Elementary,Inexperienced status,5292.0,Cascadia Elementary,105540.0,2018-19,2018-19,teachers,12,36.4%,33
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Cascadia Elementary,5292,105540,105540,School,Cascadia Elementary,Limited Certificate status,5292.0,Cascadia Elementary,105540.0,2018-19,2018-19,teachers,1,3.0%,33
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Cascadia Elementary,5292,105540,105540,School,Cascadia Elementary,Out-of-Field status,5292.0,Cascadia Elementary,105540.0,2018-19,2018-19,teachers,1,2.9%,34
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Catharine Blaine K-8 School,2838,101106,101106,School,Catharine Blaine K-8 School,Inexperienced status,2838.0,Catharine Blaine K-8 School,101106.0,2018-19,2018-19,teachers,17,34.7%,49
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Catharine Blaine K-8 School,2838,101106,101106,School,Catharine Blaine K-8 School,Limited Certificate status,2838.0,Catharine Blaine K-8 School,101106.0,2018-19,2018-19,teachers,3,5.9%,51
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Catharine Blaine K-8 School,2838,101106,101106,School,Catharine Blaine K-8 School,Out-of-Field status,2838.0,Catharine Blaine K-8 School,101106.0,2018-19,2018-19,teachers,6,11.1%,54
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Cedar Park Elementary School,5487,106070,106070,School,Cedar Park Elementary School,Inexperienced status,5487.0,Cedar Park Elementary School,106070.0,2018-19,2018-19,teachers,6,50.0%,12
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Cedar Park Elementary School,5487,106070,106070,School,Cedar Park Elementary School,Limited Certificate status,5487.0,Cedar Park Elementary School,106070.0,2018-19,2018-19,teachers,2,16.7%,12
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Cedar Park Elementary School,5487,106070,106070,School,Cedar Park Elementary School,Out-of-Field status,5487.0,Cedar Park Elementary School,106070.0,2018-19,2018-19,teachers,0,0.0%,12
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Chief Sealth International High School,3096,101118,101118,School,Chief Sealth International High School,Inexperienced status,3096.0,Chief Sealth International High School,101118.0,2018-19,2018-19,teachers,18,25.0%,72
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Chief Sealth International High School,3096,101118,101118,School,Chief Sealth International High School,Limited Certificate status,3096.0,Chief Sealth International High School,101118.0,2018-19,2018-19,teachers,5,6.7%,75
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Chief Sealth International High School,3096,101118,101118,School,Chief Sealth International High School,Out-of-Field status,3096.0,Chief Sealth International High School,101118.0,2018-19,2018-19,teachers,18,20.2%,89
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Cleveland High School STEM,2392,101089,101089,School,Cleveland High School STEM,Inexperienced status,2392.0,Cleveland High School STEM,101089.0,2018-19,2018-19,teachers,21,37.5%,56
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Cleveland High School STEM,2392,101089,101089,School,Cleveland High School STEM,Limited Certificate status,2392.0,Cleveland High School STEM,101089.0,2018-19,2018-19,teachers,5,8.5%,59
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Cleveland High School STEM,2392,101089,101089,School,Cleveland High School STEM,Out-of-Field status,2392.0,Cleveland High School STEM,101089.0,2018-19,2018-19,teachers,11,16.4%,67
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Concord International School,2199,101064,101064,School,Concord International School,Inexperienced status,2199.0,Concord International School,101064.0,2018-19,2018-19,teachers,15,48.4%,31
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Concord International School,2199,101064,101064,School,Concord International School,Limited Certificate status,2199.0,Concord International School,101064.0,2018-19,2018-19,teachers,3,9.4%,32
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Concord International School,2199,101064,101064,School,Concord International School,Out-of-Field status,2199.0,Concord International School,101064.0,2018-19,2018-19,teachers,1,3.1%,32
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Daniel Bagley Elementary School,2450,101094,101094,School,Daniel Bagley Elementary School,Inexperienced status,2450.0,Daniel Bagley Elementary School,101094.0,2018-19,2018-19,teachers,8,24.2%,33
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Daniel Bagley Elementary School,2450,101094,101094,School,Daniel Bagley Elementary School,Limited Certificate status,2450.0,Daniel Bagley Elementary School,101094.0,2018-19,2018-19,teachers,2,5.7%,35
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Daniel Bagley Elementary School,2450,101094,101094,School,Daniel Bagley Elementary School,Out-of-Field status,2450.0,Daniel Bagley Elementary School,101094.0,2018-19,2018-19,teachers,3,8.6%,35
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - David T. Denny International Middle School,2839,101107,101107,School,David T. Denny International Middle School,Inexperienced status,2839.0,David T. Denny International Middle School,101107.0,2018-19,2018-19,teachers,20,29.9%,67
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - David T. Denny International Middle School,2839,101107,101107,School,David T. Denny International Middle School,Limited Certificate status,2839.0,David T. Denny International Middle School,101107.0,2018-19,2018-19,teachers,3,4.4%,68
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - David T. Denny International Middle School,2839,101107,101107,School,David T. Denny International Middle School,Out-of-Field status,2839.0,David T. Denny International Middle School,101107.0,2018-19,2018-19,teachers,17,20.2%,84
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Dearborn Park International School,3803,101145,101145,School,Dearborn Park International School,Inexperienced status,3803.0,Dearborn Park International School,101145.0,2018-19,2018-19,teachers,12,41.4%,29
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Dearborn Park International School,3803,101145,101145,School,Dearborn Park International School,Limited Certificate status,3803.0,Dearborn Park International School,101145.0,2018-19,2018-19,teachers,1,3.3%,30
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Dearborn Park International School,3803,101145,101145,School,Dearborn Park International School,Out-of-Field status,3803.0,Dearborn Park International School,101145.0,2018-19,2018-19,teachers,4,12.5%,32
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Dunlap Elementary School,2321,101082,101082,School,Dunlap Elementary School,Inexperienced status,2321.0,Dunlap Elementary School,101082.0,2018-19,2018-19,teachers,8,27.6%,29
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Dunlap Elementary School,2321,101082,101082,School,Dunlap Elementary School,Limited Certificate status,2321.0,Dunlap Elementary School,101082.0,2018-19,2018-19,teachers,0,0.0%,29
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Dunlap Elementary School,2321,101082,101082,School,Dunlap Elementary School,Out-of-Field status,2321.0,Dunlap Elementary School,101082.0,2018-19,2018-19,teachers,1,3.3%,30
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Eckstein Middle School,2729,101101,101101,School,Eckstein Middle School,Inexperienced status,2729.0,Eckstein Middle School,101101.0,2018-19,2018-19,teachers,16,28.6%,56
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Eckstein Middle School,2729,101101,101101,School,Eckstein Middle School,Limited Certificate status,2729.0,Eckstein Middle School,101101.0,2018-19,2018-19,teachers,5,8.5%,59
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Eckstein Middle School,2729,101101,101101,School,Eckstein Middle School,Out-of-Field status,2729.0,Eckstein Middle School,101101.0,2018-19,2018-19,teachers,7,11.1%,63
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Edmonds S. Meany Middle School,5485,106068,106068,School,Edmonds S. Meany Middle School,Inexperienced status,5485.0,Edmonds S. Meany Middle School,106068.0,2018-19,2018-19,teachers,19,55.9%,34
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Edmonds S. Meany Middle School,5485,106068,106068,School,Edmonds S. Meany Middle School,Limited Certificate status,5485.0,Edmonds S. Meany Middle School,106068.0,2018-19,2018-19,teachers,4,11.8%,34
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Edmonds S. Meany Middle School,5485,106068,106068,School,Edmonds S. Meany Middle School,Out-of-Field status,5485.0,Edmonds S. Meany Middle School,106068.0,2018-19,2018-19,teachers,7,18.4%,38
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Emerson Elementary School,2118,101049,101049,School,Emerson Elementary School,Inexperienced status,2118.0,Emerson Elementary School,101049.0,2018-19,2018-19,teachers,17,56.7%,30
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Emerson Elementary School,2118,101049,101049,School,Emerson Elementary School,Limited Certificate status,2118.0,Emerson Elementary School,101049.0,2018-19,2018-19,teachers,0,0.0%,30
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Emerson Elementary School,2118,101049,101049,School,Emerson Elementary School,Out-of-Field status,2118.0,Emerson Elementary School,101049.0,2018-19,2018-19,teachers,0,0.0%,30
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Fairmount Park Elementary School,3518,101135,101135,School,Fairmount Park Elementary School,Inexperienced status,3518.0,Fairmount Park Elementary School,101135.0,2018-19,2018-19,teachers,6,18.8%,32
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Fairmount Park Elementary School,3518,101135,101135,School,Fairmount Park Elementary School,Limited Certificate status,3518.0,Fairmount Park Elementary School,101135.0,2018-19,2018-19,teachers,1,3.0%,33
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Fairmount Park Elementary School,3518,101135,101135,School,Fairmount Park Elementary School,Out-of-Field status,3518.0,Fairmount Park Elementary School,101135.0,2018-19,2018-19,teachers,1,3.0%,33
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Franklin High School,2182,101062,101062,School,Franklin High School,Inexperienced status,2182.0,Franklin High School,101062.0,2018-19,2018-19,teachers,14,19.4%,72
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Franklin High School,2182,101062,101062,School,Franklin High School,Limited Certificate status,2182.0,Franklin High School,101062.0,2018-19,2018-19,teachers,15,18.3%,82
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Franklin High School,2182,101062,101062,School,Franklin High School,Out-of-Field status,2182.0,Franklin High School,101062.0,2018-19,2018-19,teachers,22,23.4%,94
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Frantz Coe Elementary School,2090,101045,101045,School,Frantz Coe Elementary School,Inexperienced status,2090.0,Frantz Coe Elementary School,101045.0,2018-19,2018-19,teachers,10,26.3%,38
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Frantz Coe Elementary School,2090,101045,101045,School,Frantz Coe Elementary School,Limited Certificate status,2090.0,Frantz Coe Elementary School,101045.0,2018-19,2018-19,teachers,0,0.0%,38
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Frantz Coe Elementary School,2090,101045,101045,School,Frantz Coe Elementary School,Out-of-Field status,2090.0,Frantz Coe Elementary School,101045.0,2018-19,2018-19,teachers,1,2.6%,39
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Garfield High School,2306,101080,101080,School,Garfield High School,Inexperienced status,2306.0,Garfield High School,101080.0,2018-19,2018-19,teachers,33,36.3%,91
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Garfield High School,2306,101080,101080,School,Garfield High School,Limited Certificate status,2306.0,Garfield High School,101080.0,2018-19,2018-19,teachers,4,4.3%,94
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Garfield High School,2306,101080,101080,School,Garfield High School,Out-of-Field status,2306.0,Garfield High School,101080.0,2018-19,2018-19,teachers,13,12.6%,103
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Gatewood Elementary School,2139,101055,101055,School,Gatewood Elementary School,Inexperienced status,2139.0,Gatewood Elementary School,101055.0,2018-19,2018-19,teachers,8,26.7%,30
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Gatewood Elementary School,2139,101055,101055,School,Gatewood Elementary School,Limited Certificate status,2139.0,Gatewood Elementary School,101055.0,2018-19,2018-19,teachers,1,3.3%,30
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Gatewood Elementary School,2139,101055,101055,School,Gatewood Elementary School,Out-of-Field status,2139.0,Gatewood Elementary School,101055.0,2018-19,2018-19,teachers,0,0.0%,30
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Genesee Hill Elementary,3429,101129,101129,School,Genesee Hill Elementary,Inexperienced status,3429.0,Genesee Hill Elementary,101129.0,2018-19,2018-19,teachers,13,26.5%,49
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Genesee Hill Elementary,3429,101129,101129,School,Genesee Hill Elementary,Limited Certificate status,3429.0,Genesee Hill Elementary,101129.0,2018-19,2018-19,teachers,2,4.1%,49
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Genesee Hill Elementary,3429,101129,101129,School,Genesee Hill Elementary,Out-of-Field status,3429.0,Genesee Hill Elementary,101129.0,2018-19,2018-19,teachers,1,2.0%,50
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Graham Hill Elementary School,3378,101126,101126,School,Graham Hill Elementary School,Inexperienced status,3378.0,Graham Hill Elementary School,101126.0,2018-19,2018-19,teachers,17,53.1%,32
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Graham Hill Elementary School,3378,101126,101126,School,Graham Hill Elementary School,Limited Certificate status,3378.0,Graham Hill Elementary School,101126.0,2018-19,2018-19,teachers,3,9.4%,32
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Graham Hill Elementary School,3378,101126,101126,School,Graham Hill Elementary School,Out-of-Field status,3378.0,Graham Hill Elementary School,101126.0,2018-19,2018-19,teachers,3,8.8%,34
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Green Lake Elementary School,2061,101036,101036,School,Green Lake Elementary School,Inexperienced status,2061.0,Green Lake Elementary School,101036.0,2018-19,2018-19,teachers,7,20.6%,34
